dteday,cnt,type,casual,registered,weekday,weathersit,temp,hum
2011-01-01,38189.0,monthly_performance,,,,,,
2011-02-01,48215.0,monthly_performance,,,,,,
2011-03-01,64045.0,monthly_performance,,,,,,
2011-04-01,94870.0,monthly_performance,,,,,,
2011-05-01,135821.0,monthly_performance,,,,,,
2011-06-01,143512.0,monthly_performance,,,,,,
2011-07-01,141341.0,monthly_performance,,,,,,
2011-08-01,136691.0,monthly_performance,,,,,,
2011-09-01,127418.0,monthly_performance,,,,,,
2011-10-01,123511.0,monthly_performance,,,,,,
2011-11-01,102167.0,monthly_performance,,,,,,
2011-12-01,87323.0,monthly_performance,,,,,,
2012-01-01,96744.0,monthly_performance,,,,,,
2012-02-01,103137.0,monthly_performance,,,,,,
2012-03-01,164875.0,monthly_performance,,,,,,
2012-04-01,174224.0,monthly_performance,,,,,,
2012-05-01,195865.0,monthly_performance,,,,,,
2012-06-01,202830.0,monthly_performance,,,,,,
2012-07-01,203607.0,monthly_performance,,,,,,
2012-08-01,214503.0,monthly_performance,,,,,,
2012-09-01,218573.0,monthly_performance,,,,,,
2012-10-01,198841.0,monthly_performance,,,,,,
2012-11-01,152664.0,monthly_performance,,,,,,
2012-12-01,123713.0,monthly_performance,,,,,,
2011-01-01,,monthly_avg,99.12903225806451,1132.774193548387,,,,
2011-02-01,,monthly_avg,222.92857142857142,1499.0357142857142,,,,
2011-03-01,,monthly_avg,413.741935483871,1652.225806451613,,,,
2011-04-01,,monthly_avg,744.8666666666667,2417.4666666666667,,,,
2011-05-01,,monthly_avg,1001.6129032258065,3379.7096774193546,,,,
2011-06-01,,monthly_avg,1020.4,3763.3333333333335,,,,
2011-07-01,,monthly_avg,1175.8709677419354,3383.516129032258,,,,
2011-08-01,,monthly_avg,930.3870967741935,3479.0,,,,
2011-09-01,,monthly_avg,884.8333333333334,3362.4333333333334,,,,
2011-10-01,,monthly_avg,813.6129032258065,3170.6129032258063,,,,
2011-11-01,,monthly_avg,519.8,2885.766666666667,,,,
2011-12-01,,monthly_avg,272.51612903225805,2544.3548387096776,,,,
2012-01-01,,monthly_avg,289.3225806451613,2831.451612903226,,,,
2012-02-01,,monthly_avg,300.7241379310345,3255.7241379310344,,,,
2012-03-01,,monthly_avg,1019.9354838709677,4298.612903225807,,,,
2012-04-01,,monthly_avg,1281.8666666666666,4525.6,,,,
2012-05-01,,monthly_avg,1426.9354838709678,4891.290322580645,,,,
2012-06-01,,monthly_avg,1443.1333333333334,5317.866666666667,,,,
2012-07-01,,monthly_avg,1345.3225806451612,5222.645161290323,,,,
2012-08-01,,monthly_avg,1393.4516129032259,5526.0,,,,
2012-09-01,,monthly_avg,1459.2666666666667,5826.5,,,,
2012-10-01,,monthly_avg,1114.1290322580646,5300.096774193548,,,,
2012-11-01,,monthly_avg,700.3,4388.5,,,,
2012-12-01,,monthly_avg,427.258064516129,3563.483870967742,,,,
,444027.0,weekday_usage,,,0.0,,,
,455503.0,weekday_usage,,,1.0,,,
,469109.0,weekday_usage,,,2.0,,,
,473048.0,weekday_usage,,,3.0,,,
,485395.0,weekday_usage,,,4.0,,,
,487790.0,weekday_usage,,,5.0,,,
,477807.0,weekday_usage,,,6.0,,,
,2338173.0,weather_clustering,,,,1.0,0.5110540611583282,0.5737466047489704
,795952.0,weather_clustering,,,,2.0,0.47444542253521127,0.6988072183098591
,158331.0,weather_clustering,,,,3.0,0.45668780831571526,0.827632135306554
,223.0,weather_clustering,,,,4.0,0.18666666666666668,0.8833333333333333
